English,Arabic,Categories,Frequency
full,,"Reading Comprehension, Grammar, IT & Technology, Vocabulary",6
gdpr,,IT & Technology,6
gerunds,,"IT & Technology, Grammar",6
given,,"Vocabulary, IT & Technology",6
guarantees,,IT & Technology,6
hot,,"Vocabulary, Grammar",6
house,,"Vocabulary, IT & Technology",6
idempotent,,IT & Technology,6
important,,"IT & Technology, Vocabulary, Grammar",6
improves,,"IT & Technology, Vocabulary, Reading Comprehension",6
industry,,"Vocabulary, Grammar",6
instructions,,"IT & Technology, Vocabulary, Grammar",6
intransigent,,Vocabulary,6
inverted,,Grammar,6
iot,,"IT & Technology, Vocabulary, Grammar",6
irregular,,Grammar,6
key,,"IT & Technology, Grammar, Vocabulary",6
lead,,"Reading Comprehension, Vocabulary, Grammar, IT & Technology",6
level,,"Grammar, Vocabulary",6
limit,,"Reading Comprehension, IT & Technology",6
logic,,"Vocabulary, IT & Technology, Reading Comprehension",6
logical,,"Vocabulary, Grammar",6
logs,,"IT & Technology, Grammar",6
looks,,"Vocabulary, Grammar",6
loss,,"IT & Technology, Grammar",6
managed,,"Vocabulary, IT & Technology, Grammar",6
marketing,,"Vocabulary, Reading Comprehension",6
messages,,"Reading Comprehension, IT & Technology",6
minimal,,"IT & Technology, Vocabulary, Reading Comprehension",6
month,,"Grammar, Vocabulary",6
obligation,,Grammar,6
occurs,,IT & Technology,6
patches,,"Grammar, IT & Technology, Reading Comprehension",6
pernicious,,"Vocabulary, Grammar",6
platitudes,,"Reading Comprehension, Vocabulary",6
privacy,,"Vocabulary, IT & Technology, Reading Comprehension",6
produces,,"Vocabulary, IT & Technology, Grammar",6
questions,,"Grammar, Reading Comprehension",6
race,,IT & Technology,6
reason,,"Grammar, Reading Comprehension",6
recent,,"Vocabulary, IT & Technology, Grammar",6
recommendation,,"Grammar, Vocabulary",6
regardless,,Grammar,6
requiring,,"IT & Technology, Vocabulary",6
resolved,,"IT & Technology, Vocabulary",6
rigorous,,"Vocabulary, Reading Comprehension, Grammar",6
rotate,,Grammar,6
routing,,"IT & Technology, Grammar",6
rules,,"Grammar, Reading Comprehension",6
sarah,,Reading Comprehension,6
school,,"Reading Comprehension, Vocabulary",6
sender,,Reading Comprehension,6
serendipitous,,"IT & Technology, Vocabulary",6
series,,"Vocabulary, Grammar, Reading Comprehension",6
several,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",6
shared,,IT & Technology,6
shopping,,"Vocabulary, Reading Comprehension",6
significantly,,"IT & Technology, Reading Comprehension, Vocabulary",6
slowed,,"Reading Comprehension, Vocabulary",6
smaller,,"Reading Comprehension, IT & Technology",6
soaked,,Reading Comprehension,6
spike,,"Grammar, Reading Comprehension",6
sprint,,"IT & Technology, Reading Comprehension",6
stairs,,Reading Comprehension,6
sunday,,"Vocabulary, Reading Comprehension",6
teeth,,Vocabulary,6
threads,,IT & Technology,6
today,,"Vocabulary, Reading Comprehension",6
vendor,,IT & Technology,6
verification,,IT & Technology,6
weekend,,"IT & Technology, Grammar, Vocabulary",6
whom,,"Grammar, Reading Comprehension",6
wish,,Grammar,6
write,,"Vocabulary, IT & Technology, Reading Comprehension",6
airport,,"Vocabulary, Grammar",5
algorithms,,"Reading Comprehension, IT & Technology",5
allows,,"IT & Technology, Vocabulary",5
analytical,,Reading Comprehension,5
antivirus,,"IT & Technology, Vocabulary, Grammar",5
approve,,Grammar,5
automatically,,"IT & Technology, Grammar",5
available,,"IT & Technology, Reading Comprehension, Vocabulary",5
backend,,"IT & Technology, Grammar",5
balancing,,IT & Technology,5
bank,,"Vocabulary, Reading Comprehension, IT & Technology",5
basic,,"Vocabulary, IT & Technology",5
bed,,"Grammar, Vocabulary",5
belief,,"Reading Comprehension, Vocabulary, Grammar, IT & Technology",5
beneficial,,"IT & Technology, Vocabulary, Reading Comprehension",5
better,,"IT & Technology, Vocabulary, Grammar",5
black,,"IT & Technology, Reading Comprehension",5
blue,,"Grammar, IT & Technology, Vocabulary, Reading Comprehension",5
breach,,Grammar,5
brute,,"IT & Technology, Reading Comprehension",5
capacity,,"IT & Technology, Vocabulary, Reading Comprehension",5
central,,"Reading Comprehension, IT & Technology",5
challenges,,Reading Comprehension,5
changed,,"Reading Comprehension, IT & Technology, Grammar",5
changing,,"IT & Technology, Grammar",5
classical,,Reading Comprehension,5
clearly,,"Vocabulary, Reading Comprehension, IT & Technology",5
cohesion,,"Reading Comprehension, Grammar",5
computers,,"IT & Technology, Grammar, Reading Comprehension",5
conjunction,,"Reading Comprehension, Grammar, IT & Technology",5
connection,,"Grammar, IT & Technology",5
content,,"Reading Comprehension, IT & Technology",5
contrast,,"Reading Comprehension, Grammar",5
core,,"Vocabulary, Grammar",5
cost,,"IT & Technology, Reading Comprehension, Vocabulary",5
critics,,"Reading Comprehension, Vocabulary",5
cryptographic,,"Grammar, IT & Technology, Vocabulary",5
customer,,"IT & Technology, Reading Comprehension",5
cyber,,"IT & Technology, Grammar",5
dark,,"Grammar, Vocabulary",5
dashboard,,"Grammar, Reading Comprehension",5
delay,,"IT & Technology, Grammar, Vocabulary",5
dependent,,"Reading Comprehension, IT & Technology",5
door,,"Grammar, Vocabulary, Reading Comprehension",5
drive,,"Reading Comprehension, IT & Technology",5
easily,,"Vocabulary, IT & Technology",5
empty,,Vocabulary,5
eventually,,"Reading Comprehension, IT & Technology",5
exam,,"Grammar, Vocabulary",5
expensive,,"Grammar, Reading Comprehension, IT & Technology",5
explicit,,"Vocabulary, IT & Technology",5
exposed,,"IT & Technology, Grammar, Reading Comprehension",5
focus,,"Vocabulary, IT & Technology, Grammar",5
formation,,"Vocabulary, Grammar",5
friday,,"Vocabulary, Reading Comprehension",5
frontend,,IT & Technology,5
gain,,"IT & Technology, Vocabulary",5
global,,"Reading Comprehension, IT & Technology",5
goes,,"Reading Comprehension, IT & Technology",5
habits,,Grammar,5
happy,,"Reading Comprehension, IT & Technology, Vocabulary",5
headache,,"Reading Comprehension, Vocabulary",5
historical,,Reading Comprehension,5
history,,"Reading Comprehension, IT & Technology, Vocabulary",5
hospital,,"Grammar, Reading Comprehension",5
http,,IT & Technology,5
human,,"Reading Comprehension, Grammar",5
indicate,,"Reading Comprehension, Grammar",5
input,,"Reading Comprehension, IT & Technology",5
internal,,"Reading Comprehension, IT & Technology",5
isn,,Grammar,5
isolation,,"Reading Comprehension, IT & Technology, Grammar",5
jobs,,"Reading Comprehension, Grammar, Vocabulary",5
keys,,"Grammar, IT & Technology",5
lack,,Reading Comprehension,5
language,,"Reading Comprehension, Vocabulary, Grammar",5
lasting,,"IT & Technology, Vocabulary",5
library,,"Reading Comprehension, Vocabulary",5
light,,"Grammar, Vocabulary",5
lights,,Vocabulary,5
major,,"IT & Technology, Vocabulary, Reading Comprehension",5
market,,Vocabulary,5
method,,"Reading Comprehension, IT & Technology",5
milk,,"Grammar, Vocabulary",5
minor,,"IT & Technology, Reading Comprehension, Grammar",5
minutes,,"Vocabulary, IT & Technology",5
modify,,"Reading Comprehension, IT & Technology",5
money,,Vocabulary,5
monitor,,IT & Technology,5
mood,,Grammar,5
mother,,Vocabulary,5
near,,"Reading Comprehension, Grammar",5
nosql,,IT & Technology,5
notice,,Reading Comprehension,5
obfuscate,,"IT & Technology, Vocabulary, Grammar",5
operational,,"Reading Comprehension, Vocabulary",5
outdated,,"Reading Comprehension, Grammar",5
paragraph,,Reading Comprehension,5
peer,,"IT & Technology, Grammar",5
pen,,"Vocabulary, Grammar",5
piece,,"Vocabulary, IT & Technology",5
points,,"Vocabulary, IT & Technology",5
pragmatic,,"Vocabulary, Grammar",5
premise,,"IT & Technology, Vocabulary, Reading Comprehension",5
press,,"Reading Comprehension, IT & Technology",5
price,,"Vocabulary, Grammar, Reading Comprehension",5
processed,,"IT & Technology, Grammar",5
processes,,"Reading Comprehension, IT & Technology",5
public,,"Reading Comprehension, Grammar, Vocabulary",5
quality,,"Grammar, Vocabulary, Reading Comprehension, IT & Technology",5
quantifiers,,Grammar,5
quickly,,"Vocabulary, IT & Technology, Grammar",5
reality,,"Reading Comprehension, Grammar",5
realized,,"Vocabulary, Grammar",5
receive,,"Grammar, Vocabulary, Reading Comprehension",5
red,,"Vocabulary, Grammar",5
referring,,"IT & Technology, Grammar",5
regulations,,"Vocabulary, IT & Technology",5
releases,,Reading Comprehension,5
remained,,"IT & Technology, Grammar, Vocabulary",5
replace,,Grammar,5
responsible,,"IT & Technology, Reading Comprehension",5
routine,,"Reading Comprehension, Vocabulary, Grammar",5
sandwich,,"Vocabulary, Reading Comprehension",5
scalability,,"IT & Technology, Grammar, Reading Comprehension",5
shift,,"Reading Comprehension, Vocabulary",5
showing,,Reading Comprehension,5
shows,,"Reading Comprehension, Grammar, Vocabulary",5
sleep,,"Reading Comprehension, Vocabulary",5
sooner,,Grammar,5
sql,,IT & Technology,5
stack,,IT & Technology,5
starts,,"Grammar, Reading Comprehension",5
startup,,"Vocabulary, IT & Technology",5
statement,,Reading Comprehension,5
step,,"IT & Technology, Reading Comprehension",5
strongly,,"Grammar, Reading Comprehension",5
things,,"Grammar, Vocabulary, IT & Technology",5
timing,,IT & Technology,5
tolerance,,"Reading Comprehension, IT & Technology",5
towards,,"Reading Comprehension, IT & Technology",5
true,,"Grammar, Reading Comprehension",5
ultimately,,"Reading Comprehension, Grammar, Vocabulary",5
underlying,,"IT & Technology, Vocabulary, Reading Comprehension",5
username,,IT & Technology,5
video,,"IT & Technology, Grammar",5
warning,,Reading Comprehension,5
watch,,"Grammar, Vocabulary",5
websites,,"Vocabulary, IT & Technology",5
went,,"Reading Comprehension, Grammar, IT & Technology",5
written,,"IT & Technology, Grammar",5
ability,,"Grammar, Reading Comprehension",4
accesses,,IT & Technology,4
according,,IT & Technology,4
adopt,,Vocabulary,4
adverbial,,Grammar,4
advice,,"Grammar, Vocabulary",4
agree,,"Vocabulary, IT & Technology",4
allowed,,"IT & Technology, Vocabulary, Reading Comprehension",4
ameliorate,,"Vocabulary, Grammar",4
anyone,,IT & Technology,4
apple,,Grammar,4
apps,,"Grammar, Vocabulary, IT & Technology",4
article,,Grammar,4
asymptotic,,IT & Technology,4
asynchronous,,"Reading Comprehension, IT & Technology",4
attachment,,IT & Technology,4
automation,,"IT & Technology, Grammar, Reading Comprehension",4
avoid,,"Reading Comprehension, Grammar, IT & Technology",4
backlog,,IT & Technology,4
backup,,"IT & Technology, Reading Comprehension",4
believe,,"Reading Comprehension, Grammar, IT & Technology",4
bill,,Vocabulary,4
biometric,,"IT & Technology, Reading Comprehension",4
bottleneck,,"Reading Comprehension, IT & Technology",4
boundaries,,Reading Comprehension,4
breaker,,"IT & Technology, Reading Comprehension",4
breaks,,"IT & Technology, Grammar",4
breakthrough,,Vocabulary,4
brush,,Vocabulary,4
bug,,"IT & Technology, Grammar",4
build,,"Vocabulary, IT & Technology, Reading Comprehension",4
builds,,"IT & Technology, Vocabulary",4
burnout,,Reading Comprehension,4
businesses,,Reading Comprehension,4
cacophony,,Vocabulary,4
camera,,"Reading Comprehension, Vocabulary",4
cat,,"Grammar, Vocabulary",4
catastrophic,,"Grammar, IT & Technology",4
channel,,IT & Technology,4
charger,,IT & Technology,4
check,,"IT & Technology, Vocabulary",4
circuit,,"IT & Technology, Reading Comprehension",4
class,,"Reading Comprehension, Grammar",4
color,,"Vocabulary, Reading Comprehension",4
columns,,IT & Technology,4
companies,,"Vocabulary, IT & Technology",4
complexity,,IT & Technology,4
component,,IT & Technology,4
components,,"IT & Technology, Vocabulary",4
comprehensive,,"Vocabulary, Grammar, IT & Technology",4
computational,,Reading Comprehension,4
concession,,Grammar,4
concurrent,,"Vocabulary, IT & Technology",4
constraints,,"Reading Comprehension, IT & Technology",4
contradicts,,"Reading Comprehension, Vocabulary, Grammar",4
copy,,IT & Technology,4
corrupted,,"Grammar, IT & Technology",4
corruption,,"IT & Technology, Grammar, Reading Comprehension",4
countable,,Grammar,4
crash,,"Vocabulary, Grammar",4
crisis,,Reading Comprehension,4
deal,,Grammar,4
decentralized,,Reading Comprehension,4
description,,"Vocabulary, Reading Comprehension, Grammar",4
designer,,Vocabulary,4
developed,,"Grammar, IT & Technology",4
didn,,"Grammar, Reading Comprehension",4
disaster,,"Grammar, Reading Comprehension, IT & Technology",4
discord,,Reading Comprehension,4
discovered,,"IT & Technology, Grammar",4
dormant,,"Vocabulary, Grammar",4
double,,"Vocabulary, IT & Technology",4
doubt,,Reading Comprehension,4
download,,IT & Technology,4
drink,,Vocabulary,4
eating,,"Reading Comprehension, Grammar, Vocabulary",4
effective,,"IT & Technology, Vocabulary, Reading Comprehension",4
electricity,,"IT & Technology, Reading Comprehension",4
ellipsis,,Grammar,4
emphasizes,,Grammar,4
encrypt,,IT & Technology,4
encrypted,,IT & Technology,4
endpoint,,"Reading Comprehension, IT & Technology",4
equipment,,Reading Comprehension,4
ethics,,"Vocabulary, Reading Comprehension",4
eventual,,IT & Technology,4
exacerbate,,"Vocabulary, Grammar",4
executed,,"IT & Technology, Grammar",4
experienced,,IT & Technology,4
favor,,"Grammar, Vocabulary",4
fig,,"IT & Technology, Reading Comprehension",4
fill,,Vocabulary,4
findings,,Reading Comprehension,4
firewalls,,"IT & Technology, Grammar",4
five,,"Grammar, Vocabulary, IT & Technology",4
flagrant,,Reading Comprehension,4
flawed,,"Reading Comprehension, Vocabulary",4
folder,,IT & Technology,4
forget,,"IT & Technology, Vocabulary",4
functional,,"Reading Comprehension, Vocabulary, Grammar",4
gerund,,Grammar,4
gradually,,"IT & Technology, Reading Comprehension",4
hallmark,,"Grammar, Vocabulary, IT & Technology",4
harmful,,"Vocabulary, Grammar",4
heuristic,,IT & Technology,4
hide,,Reading Comprehension,4
home,,Reading Comprehension,4
homepage,,IT & Technology,4
hosted,,Grammar,4
hour,,Vocabulary,4
identity,,IT & Technology,4
idioms,,Vocabulary,4
imperative,,Grammar,4
inadvertently,,"IT & Technology, Reading Comprehension",4
indifferent,,Reading Comprehension,4
infinitive,,Grammar,4
infinity,,IT & Technology,4
insisted,,Grammar,4
intervention,,"IT & Technology, Reading Comprehension",4
introduced,,"IT & Technology, Grammar, Reading Comprehension",4
introduces,,"Reading Comprehension, Grammar",4
intuitive,,Vocabulary,4
involves,,IT & Technology,4
jacket,,Vocabulary,4
leads,,"Vocabulary, Reading Comprehension",4
lest,,"Grammar, IT & Technology",4
locally,,Reading Comprehension,4
location,,"Grammar, Reading Comprehension, IT & Technology",4
london,,"Vocabulary, Grammar, Reading Comprehension",4
lose,,"Grammar, IT & Technology",4
man,,IT & Technology,4
mathematical,,"Reading Comprehension, Vocabulary, IT & Technology",4
medicine,,"Reading Comprehension, Vocabulary",4
menu,,"Vocabulary, Reading Comprehension",4
merger,,"Grammar, Vocabulary",4
methodology,,"IT & Technology, Reading Comprehension",4
meticulous,,"Vocabulary, Reading Comprehension",4
metrics,,IT & Technology,4
middle,,IT & Technology,4
mistake,,Vocabulary,4
mitigate,,"Vocabulary, Grammar",4
mixture,,Vocabulary,4
models,,"Vocabulary, Reading Comprehension",4
monolith,,"Vocabulary, IT & Technology, Reading Comprehension",4
moving,,IT & Technology,4
native,,Vocabulary,4
nature,,"Reading Comprehension, Vocabulary",4
node,,IT & Technology,4
normalization,,IT & Technology,4
notwithstanding,,Grammar,4
offers,,Reading Comprehension,4
operating,,"IT & Technology, Vocabulary, Grammar",4
operation,,IT & Technology,4
ostentatious,,"Vocabulary, Grammar",4
panacea,,"Reading Comprehension, Vocabulary",4
paradigms,,Vocabulary,4
partition,,IT & Technology,4
partitioning,,IT & Technology,4
parts,,"IT & Technology, Vocabulary",4
party,,"IT & Technology, Reading Comprehension, Grammar",4
patch,,"Grammar, Vocabulary, IT & Technology",4
pay,,Vocabulary,4
persistence,,IT & Technology,4
phases,,Grammar,4
places,,"Reading Comprehension, Vocabulary, Grammar",4
playing,,"Grammar, Vocabulary",4
polyglot,,IT & Technology,4
potential,,"Vocabulary, Reading Comprehension",4
presents,,Reading Comprehension,4
previous,,Reading Comprehension,4
private,,"IT & Technology, Grammar, Vocabulary",4
produce,,"Vocabulary, IT & Technology",4
profound,,Reading Comprehension,4
progress,,"Vocabulary, Grammar, IT & Technology",4
projects,,"IT & Technology, Reading Comprehension, Vocabulary",4
promises,,"Reading Comprehension, Vocabulary",4
prompted,,Grammar,4
properties,,"IT & Technology, Grammar",4
provide,,"Reading Comprehension, IT & Technology",4
provisioning,,IT & Technology,4
quarter,,"Grammar, Vocabulary",4
rapid,,Reading Comprehension,4
rarely,,Grammar,4
reduces,,"IT & Technology, Reading Comprehension",4
refusing,,Vocabulary,4
reliability,,Reading Comprehension,4
reliably,,"Vocabulary, IT & Technology, Grammar",4
reporting,,Grammar,4
repository,,IT & Technology,4
resolve,,"Grammar, Vocabulary, IT & Technology",4
rest,,"IT & Technology, Vocabulary, Grammar",4
return,,IT & Technology,4
revolutionary,,Reading Comprehension,4
rollout,,"IT & Technology, Reading Comprehension",4
rule,,"IT & Technology, Grammar, Vocabulary",4
sample,,Reading Comprehension,4
sanitized,,Reading Comprehension,4
saturday,,"Vocabulary, Reading Comprehension, Grammar",4
scan,,IT & Technology,4
secret,,IT & Technology,4
serious,,"Reading Comprehension, Vocabulary",4
sharding,,IT & Technology,4
share,,"IT & Technology, Grammar",4
simplicity,,Vocabulary,4
slowly,,"Reading Comprehension, Vocabulary, Grammar",4
smoke,,"IT & Technology, Reading Comprehension",4
social,,"Reading Comprehension, IT & Technology",4
solving,,"Grammar, Vocabulary",4
sophisticated,,"IT & Technology, Reading Comprehension, Grammar",4
story,,Reading Comprehension,4
straightforward,,Reading Comprehension,4
strangler,,"IT & Technology, Reading Comprehension",4
strategy,,"Vocabulary, IT & Technology",4
streamline,,Vocabulary,4
streams,,IT & Technology,4
studied,,Grammar,4
sycophantic,,Vocabulary,4
tasks,,"IT & Technology, Reading Comprehension, Vocabulary",4
technological,,"Reading Comprehension, Vocabulary",4
telemetry,,IT & Technology,4
tests,,"IT & Technology, Grammar, Reading Comprehension",4
theorem,,IT & Technology,4
together,,"Grammar, Vocabulary, Reading Comprehension",4
tom,,Reading Comprehension,4
transaction,,"Reading Comprehension, IT & Technology, Grammar",4
transactions,,"IT & Technology, Grammar",4
tree,,Vocabulary,4
triggered,,"Grammar, Reading Comprehension",4
triggering,,"Grammar, Vocabulary",4
trustless,,Reading Comprehension,4
truthful,,Reading Comprehension,4
unbiased,,Reading Comprehension,4
unexpected,,"Reading Comprehension, Grammar",4
unlike,,"Reading Comprehension, IT & Technology",4
unstructured,,IT & Technology,4
useful,,Grammar,4
vague,,"Reading Comprehension, Vocabulary",4
valuables,,Reading Comprehension,4
virtualization,,IT & Technology,4
visual,,"IT & Technology, Vocabulary",4
volume,,Grammar,4
vulnerable,,"IT & Technology, Grammar",4
wake,,"Reading Comprehension, Vocabulary",4
wash,,"Vocabulary, IT & Technology",4
ways,,Vocabulary,4
wear,,"Vocabulary, Grammar",4
white,,Reading Comprehension,4
worked,,"Grammar, Vocabulary",4
writes,,"Vocabulary, Reading Comprehension",4
yours,,Grammar,4
abandoned,,Reading Comprehension,3
accustomed,,"Grammar, Reading Comprehension",3
achieve,,"Vocabulary, IT & Technology",3
acknowledging,,Reading Comprehension,3
act,,"Vocabulary, Reading Comprehension",3
advantages,,Reading Comprehension,3
adverb,,Grammar,3
affect,,Vocabulary,3
afford,,Vocabulary,3
agreement,,"Grammar, IT & Technology, Vocabulary",3
aims,,"Reading Comprehension, Vocabulary",3
airplane,,Vocabulary,3
albeit,,"Reading Comprehension, Grammar",3
alerts,,Grammar,3
ali,,"Grammar, Reading Comprehension",3
amount,,"Vocabulary, Grammar",3
appointments,,Grammar,3
appropriate,,"IT & Technology, Grammar, Vocabulary",3
architects,,"IT & Technology, Grammar",3
argue,,Reading Comprehension,3
argument,,"Vocabulary, Reading Comprehension",3
articles,,Grammar,3
asking,,"Vocabulary, Reading Comprehension, Grammar",3
assumptions,,"Vocabulary, Reading Comprehension",3
attackers,,"IT & Technology, Grammar",3
attempted,,IT & Technology,3
attempts,,"Grammar, IT & Technology, Vocabulary",3
audit,,Grammar,3
aunt,,Vocabulary,3
ball,,"Vocabulary, Grammar, Reading Comprehension",3
become,,"IT & Technology, Vocabulary, Grammar",3
bedroom,,Vocabulary,3
benefit,,Reading Comprehension,3
blockers,,IT & Technology,3
body,,Vocabulary,3
bread,,"Vocabulary, Grammar",3
broader,,"Vocabulary, Reading Comprehension, Grammar",3
brother,,"Grammar, Vocabulary",3
calendar,,"Vocabulary, Grammar",3
cancel,,"Vocabulary, Reading Comprehension",3
carefully,,"Reading Comprehension, Grammar, Vocabulary",3
catalyze,,Vocabulary,3
catch,,"Vocabulary, Grammar",3
certainty,,Grammar,3
cinema,,"Grammar, Vocabulary",3
citing,,Vocabulary,3
claims,,Reading Comprehension,3
clear,,"IT & Technology, Reading Comprehension",3
collection,,"IT & Technology, Reading Comprehension",3
commuting,,Reading Comprehension,3
concert,,Reading Comprehension,3
concrete,,"Reading Comprehension, Vocabulary",3
concurrency,,IT & Technology,3
configuration,,"Grammar, IT & Technology",3
confused,,"Vocabulary, Reading Comprehension",3
consent,,IT & Technology,3
consequence,,"Vocabulary, Reading Comprehension, Grammar",3
considered,,IT & Technology,3
contexts,,"Reading Comprehension, Vocabulary",3
contrasting,,"Reading Comprehension, Grammar",3
convoluted,,Vocabulary,3
corporate,,"Vocabulary, Reading Comprehension",3
correctly,,Grammar,3
couldn,,"IT & Technology, Reading Comprehension",3
cpu,,IT & Technology,3
created,,"Reading Comprehension, IT & Technology",3
credential,,"IT & Technology, Grammar",3
credentials,,"IT & Technology, Grammar",3
cross,,"IT & Technology, Vocabulary",3
crucial,,"IT & Technology, Vocabulary",3
crying,,Grammar,3
cycles,,"IT & Technology, Reading Comprehension",3
deadline,,Grammar,3
deadlock,,IT & Technology,3
dear,,Reading Comprehension,3
debug,,IT & Technology,3
decade,,"Reading Comprehension, Grammar",3
degrading,,"IT & Technology, Reading Comprehension",3
delays,,"IT & Technology, Reading Comprehension",3
delet,,IT & Technology,3
delivery,,"IT & Technology, Reading Comprehension",3
demonstrate,,"IT & Technology, Reading Comprehension",3
describing,,Vocabulary,3
desk,,"IT & Technology, Grammar",3
deteriorate,,"IT & Technology, Vocabulary",3
devices,,"IT & Technology, Vocabulary",3
dinner,,"Vocabulary, Reading Comprehension",3
director,,"Grammar, Vocabulary",3
disproportionate,,Reading Comprehension,3
diverse,,"Grammar, IT & Technology",3
done,,Vocabulary,3
driver,,Vocabulary,3
economic,,"Reading Comprehension, Vocabulary",3
ecosystem,,IT & Technology,3
effects,,IT & Technology,3
efficiency,,"Reading Comprehension, Vocabulary",3
emotions,,Vocabulary,3
empirical,,"Vocabulary, IT & Technology",3
endpoints,,Reading Comprehension,3
engineer,,"Reading Comprehension, IT & Technology",3
entering,,"Grammar, IT & Technology",3
enterprise,,"Grammar, Vocabulary",3
environmental,,Reading Comprehension,3
environments,,"Reading Comprehension, Vocabulary",3
essential,,"Vocabulary, IT & Technology",3
example,,"IT & Technology, Reading Comprehension",3
export,,Reading Comprehension,3
extreme,,"Reading Comprehension, Grammar",3
fact,,"Grammar, Vocabulary",3
fans,,Reading Comprehension,3
father,,Vocabulary,3
fear,,"Vocabulary, Grammar, IT & Technology",3
field,,IT & Technology,3
fits,,"Vocabulary, Grammar",3
focused,,"IT & Technology, Reading Comprehension",3
found,,"IT & Technology, Vocabulary, Grammar",3
fragile,,Reading Comprehension,3
frameworks,,"IT & Technology, Vocabulary",3
frequency,,"Grammar, IT & Technology",3
friendly,,Vocabulary,3
frozen,,IT & Technology,3
function,,IT & Technology,3
functionality,,"IT & Technology, Reading Comprehension",3
giant,,Reading Comprehension,3
got,,"Reading Comprehension, Grammar",3
grandmother,,Vocabulary,3
green,,"IT & Technology, Vocabulary, Reading Comprehension",3
harm,,"IT & Technology, Vocabulary",3
health,,"Reading Comprehension, Vocabulary",3
heavy,,Reading Comprehension,3
highlight,,Reading Comprehension,3
highlighting,,"Vocabulary, Reading Comprehension",3
horizontal,,IT & Technology,3
identical,,IT & Technology,3
ignore,,"IT & Technology, Reading Comprehension",3
immediate,,Reading Comprehension,3
improve,,"IT & Technology, Vocabulary",3
improved,,"IT & Technology, Reading Comprehension",3
include,,"Grammar, Reading Comprehension",3
incredibly,,"Vocabulary, Grammar",3
independently,,IT & Technology,3
indicated,,Grammar,3
individual,,"IT & Technology, Vocabulary",3
infinitives,,Grammar,3
inherent,,Reading Comprehension,3
insurmountable,,Vocabulary,3
integrate,,IT & Technology,3
intellectual,,"Reading Comprehension, IT & Technology",3
interesting,,"Reading Comprehension, Vocabulary",3
introduce,,"Vocabulary, Grammar",3
items,,"IT & Technology, Reading Comprehension",3
itself,,"Reading Comprehension, IT & Technology",3
knowledge,,"Vocabulary, Grammar",3
lacking,,"Vocabulary, Reading Comprehension",3
late,,Reading Comprehension,3
law,,Grammar,3
laws,,"Grammar, IT & Technology, Reading Comprehension",3
leak,,IT & Technology,3
legal,,"Vocabulary, Reading Comprehension",3
less,,"IT & Technology, Vocabulary",3
likes,,Reading Comprehension,3
limitations,,Reading Comprehension,3
listen,,IT & Technology,3
lit,,Grammar,3
local,,Reading Comprehension,3
locations,,"Vocabulary, Grammar",3
login,,"IT & Technology, Reading Comprehension",3
maintain,,"Grammar, IT & Technology",3
makes,,"Reading Comprehension, Vocabulary",3
malleable,,Vocabulary,3
mark,,Reading Comprehension,3
mechanism,,"Reading Comprehension, Grammar, IT & Technology",3
members,,"IT & Technology, Reading Comprehension",3
mentioned,,Reading Comprehension,3
mentions,,Reading Comprehension,3
methods,,"Vocabulary, IT & Technology",3
minute,,"Reading Comprehension, Vocabulary",3
monthly,,"Reading Comprehension, Grammar",3
mustn,,"IT & Technology, Grammar",3
navigate,,"IT & Technology, Vocabulary",3
needing,,Vocabulary,3
networks,,"IT & Technology, Reading Comprehension",3
noise,,"Grammar, IT & Technology",3
nostalgic,,Reading Comprehension,3
note,,"Vocabulary, Grammar",3
notices,,Reading Comprehension,3
numbers,,"Vocabulary, IT & Technology",3
obfuscating,,IT & Technology,3
obfuscation,,IT & Technology,3
objectivity,,Reading Comprehension,3
obtain,,"IT & Technology, Vocabulary",3
occurrence,,"Reading Comprehension, IT & Technology",3
ones,,"Reading Comprehension, Vocabulary",3
ongoing,,"Grammar, Vocabulary",3
opposite,,Vocabulary,3
original,,Reading Comprehension,3
overall,,"IT & Technology, Reading Comprehension",3
overflow,,IT & Technology,3
overhaul,,"Vocabulary, Grammar",3
overly,,Reading Comprehension,3
packets,,IT & Technology,3
page,,"Vocabulary, IT & Technology",3
paper,,"Reading Comprehension, Vocabulary",3
payment,,"Reading Comprehension, IT & Technology",3
peak,,"IT & Technology, Grammar",3
permission,,"IT & Technology, Grammar",3
pharmacy,,Vocabulary,3
phase,,"Vocabulary, Grammar",3
phrases,,"Grammar, Reading Comprehension",3
pipeline,,IT & Technology,3
pipelines,,"IT & Technology, Reading Comprehension",3
plurals,,Grammar,3
polished,,Reading Comprehension,3
politician,,"Reading Comprehension, Vocabulary",3
polymorphic,,IT & Technology,3
possibility,,Grammar,3
post,,Reading Comprehension,3
prejudices,,Reading Comprehension,3
prohibition,,"IT & Technology, Reading Comprehension",3
proper,,"Vocabulary, IT & Technology",3
proponents,,Reading Comprehension,3
proprietary,,IT & Technology,3
provided,,"Vocabulary, Grammar, IT & Technology",3
provides,,"IT & Technology, Grammar",3
published,,Grammar,3
purely,,"Reading Comprehension, Vocabulary, Grammar",3
pursuit,,Reading Comprehension,3
question,,Grammar,3
raining,,Vocabulary,3
ransomware,,IT & Technology,3
receives,,Grammar,3
recently,,IT & Technology,3
recognizing,,"Reading Comprehension, Grammar",3
records,,"IT & Technology, Reading Comprehension",3
